iter	Passed	Remaining
627	9810	5811
628	9823	5793
629	9832	5774
630	9857	5764
631	9874	5749
632	9891	5734
633	9899	5715
634	9916	5699
635	9929	5683
636	9943	5666
637	9958	5650
638	9974	5634
639	9982	5615
640	9996	5598
641	10011	5582
642	10029	5568
643	10044	5552
644	10060	5537
645	10075	5521
646	10090	5505
647	10107	5490
648	10123	5474
649	10132	5455
650	10141	5436
651	10159	5422
652	10184	5411
653	10193	5392
654	10207	5376
655	10222	5360
656	10236	5344
657	10252	5328
658	10267	5313
659	10283	5297
660	10297	5281
661	10313	5265
662	10324	5247
663	10341	5232
664	10355	5216
665	10371	5201
666	10387	5185
667	10401	5169
668	10417	5154
669	10431	5138
670	10448	5123
671	10464	5107
672	10483	5093
673	10498	5077
674	10506	5058
675	10520	5042
676	10536	5026
677	10551	5011
678	10565	4995
679	10580	4978
680	10598	4964
681	10615	4949
682	10629	4933
683	10637	4914
684	10652	4898
685	10667	4882
686	10684	4867
687	10699	4851
688	10714	4836
689	10728	4820
690	10745	4805
691	10754	4786
692	10764	4768
693	10779	4752
694	10794	4737
695	10809	4721
696	10824	4705
697	10838	4689
698	10847	4671
699	10862	4655
700	10891	4645
701	10910	4631
702	10926	4616
703	10944	4601
704	10961	4586
705	10976	4571
706	10992	4555
707	11010	4540
708	11026	4525
709	11053	4514
710	11063	4497
711	11074	4479
712	11089	4463
713	11106	4448
714	11123	4433
715	11140	4418
716	11156	4403
717	11181	4391
718	11197	4376
719	11215	4361
720	11232	4346
721	11252	4332
722	11282	4322
723	11304	4309
724	11384	4318
725	11475	4330
726	11553	4338
727	11654	4354
728	11718	4356
729	11769	4353
730	11836	4355
731	11954	4376
732	12095	4406
733	12187	4416
734	12233	4410
735	12298	4411
736	12419	4431
737	12580	4466
738	12727	4495
739	12884	4526
740	12952	4527
741	13023	4528
742	13056	4516
743	13109	4510
744	13163	4505
745	13210	4497
746	13247	4486
747	13313	4485
748	13445	4505
749	13543	4514
750	13695	4540
751	13914	4588
752	14212	4661
753	14356	4683
754	14441	4686
755	14733	4755
756	14953	4800
757	15105	4822
758	15371	4880
759	15544	4908
760	15807	4964
761	16155	5045
762	16357	5080
763	16661	5146
764	16826	5168
765	16960	5181
766	17128	5203
767	17328	5234
768	17381	5221
769	17416	5202
770	17453	5183
771	17486	5164
772	17519	5144
773	17550	5124
774	17590	5106
775	17624	5087
776	17705	5081
777	18641	5319
778	18997	5389
779	19409	5474
780	19678	5518
781	19815	5523
782	20731	5745
783	21616	5955
784	22696	6216
785	22937	6245
786	23889	6465
787	25000	6725
788	25228	6746
789	25517	6783
790	25864	6834
791	26049	6841
792	26092	6811
793	26116	6775
794	26147	6742
795	26176	6708
796	26204	6674
797	26228	6639
798	26254	6604
799	26276	6569
800	26325	6540
801	26347	6504
802	26372	6470
803	26400	6435
804	26431	6402
805	26455	6367
806	26478	6332
807	26501	6297
808	26526	6262
809	26555	6228
810	26578	6193
811	26609	6160
812	26637	6126
813	26660	6092
814	26689	6058
815	26717	6024
816	26755	5992
817	26777	5957
818	26807	5924
819	26837	5891
820	26860	5856
821	26886	5822
822	26918	5789
823	26949	5756
824	26972	5721
825	26992	5686
826	27019	5652
827	27051	5619
828	27074	5584
829	27104	5551
830	27133	5518
831	27158	5483
832	27185	5450
833	27208	5415
834	27234	5381
835	27255	5346
836	27286	5313
837	27313	5280
838	27334	5245
839	27373	5214
840	27402	5180
841	27429	5147
842	27455	5113
843	27483	5079
844	27505	5045
845	27533	5012
846	27563	4979
847	27586	4944
848	27613	4911
849	27642	4878
850	27667	4844
851	27697	4811
852	27724	4777
853	27746	4743
854	27778	4710
855	27800	4676
856	27833	4644
857	27858	4610
858	27879	4576
859	27907	4543
860	27929	4508
861	27948	4474
862	28000	4445
863	28032	4412
864	28063	4379
865	28094	4347
866	28115	4312
867	28132	4278
868	28156	4244
869	28236	4219
870	28260	4185
871	28284	4151
872	28310	4118
873	28331	4084
874	28360	4051
875	28382	4017
876	28410	3984
877	28433	3950
878	28459	3917
879	28481	3883
880	28517	3851
881	28535	3817
882	28563	3784
883	28583	3750
884	28617	3718
885	28645	3685
886	28667	3652
887	28699	3619
888	28727	3586
889	28757	3554
890	28782	3521
891	28811	3488
892	28846	3456
893	28872	3423
894	28899	3390
895	28929	3357
896	28955	3324
897	28977	3291
898	29010	3259
899	29037	3226
900	29060	3193
901	29082	3159
902	29112	3127
903	29138	3094
904	29165	3061
905	29191	3028
906	29221	2996
907	29243	2962
908	29269	2930
909	29294	2897
910	29328	2865
911	29355	2832
912	29379	2799
913	29406	2766
914	29435	2734
915	29458	2701
916	29490	2669
917	29518	2636
918	29541	2603
919	29567	2571
920	29590	2538
921	29616	2505
922	29651	2473
923	29676	2440
924	29703	2408
925	29726	2375
926	29757	2343
927	29788	2311
928	29817	2278
929	29841	2246
930	29872	2213
931	29899	2181
932	29921	2148
933	29955	2116
934	29985	2084
935	30007	2051
936	30037	2019
937	30068	1987
938	30100	1955
939	30125	1922
940	30150	1890
941	30180	1858
942	30203	1825
943	30228	1793
944	30260	1761
945	30285	1728
946	30313	1696
947	30344	1664
948	30374	1632
949	30400	1600
950	30428	1567
951	30456	1535
952	30481	1503
953	30508	1471
954	30532	1438
955	30564	1406
956	30592	1374
957	30613	1342
958	30640	1309
959	30665	1277
960	30694	1245
961	30725	1213
962	30748	1181
963	30779	1149
964	30808	1117
965	30838	1085
966	30872	1053
967	30897	1021
968	30924	989
969	30945	957
970	30990	925
971	31096	895
972	31163	864
973	31203	832
974	31223	800
975	31245	768
976	31276	736
977	31307	704
978	31336	672
979	31369	640
980	31400	608
981	31426	576
982	31453	543
983	31478	511
984	31502	479
985	31530	447
986	31550	415
987	31572	383
988	31594	351
989	31616	319
990	31645	287
991	31666	255
992	31689	223
993	31719	191
994	31741	159
995	31769	127
996	31800	95
997	31821	63
998	31849	31
999	31869	0
